taxlevel,taxid,taxa,sample2_bracken.report,sample1_bracken.report
R,1,root,397.0,347.0
R1,131567,  cellular organisms,397.0,347.0
D,2,    Bacteria,393.0,344.0
D1,1783272,      Terrabacteria group,186.0,153.0
P,201174,        Actinomycetota,174.0,144.0
C,1760,          Actinomycetes,171.0,144.0
O,85006,            Micrococcales,155.0,126.0
F,85023,              Microbacteriaceae,143.0,122.0
G,33882,                Microbacterium,125.0,116.0
S,69362,                  Microbacterium schleiferi,73.0,40.0
G1,2609290,                  unclassified Microbacterium,30.0,30.0
S,2483401,                    Microbacterium sp. 10M-3C3,2.0,4.0
S,2048898,                    Microbacterium sp. Y-01,2.0,8.0
S,2909588,                    Microbacterium sp. KUDC0406,1.0,
S,3049069,                    Microbacterium sp. zg-B96,1.0,
S,2861281,                    Microbacterium sp. PAMC22086,15.0,
S,1714373,                    Microbacterium sp. No. 7,1.0,5.0
S,3049072,                    Microbacterium sp. zg-Y818,2.0,
S,2782166,                    Microbacterium sp. A18JL241,1.0,
S,36805,                  Microbacterium aurum,4.0,6.0
S,2708079,                  Microbacterium fandaimingii,1.0,1.0
S,2509458,                  Microbacterium protaetiae,1.0,1.0
S,1678237,                  Microbacterium rhizosphaerae,1.0,
S,2782169,                  Microbacterium cremeum,1.0,3.0
S,1572644,                  Microbacterium proteolyticum,2.0,
S,84292,                  Microbacterium chocolatum,1.0,3.0
S,743009,                  Microbacterium oryzae,1.0,
S,57043,                  Microbacterium esteraromaticum,1.0,
S,2851649,                  Microbacterium sufflavum,2.0,2.0
G,2034,                Curtobacterium,8.0,
G1,257496,                  unclassified Curtobacterium,2.0,
S,2804758,                    Curtobacterium sp. 24E2,2.0,
S,2035,                  Curtobacterium flaccumfaciens,5.0,
G,55968,                Leucobacter,2.0,
G1,2621730,                  unclassified Leucobacter,1.0,
S,2875729,                    Leucobacter sp. Psy1,1.0,
S,2932245,                  Leucobacter rhizosphaerae,1.0,
G,33877,                Agromyces,2.0,3.0
S,1389020,                  Agromyces marinus,2.0,
G,46352,                Agrococcus,1.0,1.0
G1,2615065,                  unclassified Agrococcus,1.0,
S,3068634,                    Agrococcus sp. REN33,1.0,
G,1433997,                Diaminobutyricimonas,1.0,
G1,2643261,                  unclassified Diaminobutyricimonas,1.0,
