taxlevel,taxid,taxa,sample2_bracken.report,sample1_bracken.report
R,1,root,100.0,100.0
R1,131567,  cellular organisms,100.0,100.0
D,2,    Bacteria,99.22,99.09
D1,1783272,      Terrabacteria group,46.9,44.22
P,201174,        Actinomycetota,43.88,41.64
C,1760,          Actinomycetes,43.28,41.64
O,85006,            Micrococcales,39.04,36.25
F,85023,              Microbacteriaceae,36.24,35.2
G,33882,                Microbacterium,31.63,33.36
S,69362,                  Microbacterium schleiferi,18.56,11.6
G1,2609290,                  unclassified Microbacterium,7.69,8.76
S,2483401,                    Microbacterium sp. 10M-3C3,0.56,1.32
S,2048898,                    Microbacterium sp. Y-01,0.69,2.47
S,2909588,                    Microbacterium sp. KUDC0406,0.48,
S,3049069,                    Microbacterium sp. zg-B96,0.46,
S,2861281,                    Microbacterium sp. PAMC22086,3.97,
S,1714373,                    Microbacterium sp. No. 7,0.5,1.69
S,3049072,                    Microbacterium sp. zg-Y818,0.56,
S,2782166,                    Microbacterium sp. A18JL241,0.46,
S,36805,                  Microbacterium aurum,1.11,1.97
S,2708079,                  Microbacterium fandaimingii,0.33,0.39
S,2509458,                  Microbacterium protaetiae,0.41,0.47
S,1678237,                  Microbacterium rhizosphaerae,0.43,
S,2782169,                  Microbacterium cremeum,0.49,1.14
S,1572644,                  Microbacterium proteolyticum,0.51,
S,84292,                  Microbacterium chocolatum,0.49,1.14
S,743009,                  Microbacterium oryzae,0.5,
S,57043,                  Microbacterium esteraromaticum,0.47,
S,2851649,                  Microbacterium sufflavum,0.63,0.75
G,2034,                Curtobacterium,2.03,
G1,257496,                  unclassified Curtobacterium,0.55,
S,2804758,                    Curtobacterium sp. 24E2,0.55,
S,2035,                  Curtobacterium flaccumfaciens,1.48,
G,55968,                Leucobacter,0.73,
G1,2621730,                  unclassified Leucobacter,0.36,
S,2875729,                    Leucobacter sp. Psy1,0.36,
S,2932245,                  Leucobacter rhizosphaerae,0.38,
G,33877,                Agromyces,0.51,0.96
S,1389020,                  Agromyces marinus,0.51,
G,46352,                Agrococcus,0.5,0.5
G1,2615065,                  unclassified Agrococcus,0.5,
S,3068634,                    Agrococcus sp. REN33,0.5,
